CPPvariables,0.34774588833610415,0.21235361520292215,0.0,0.08993157380254155,0.09775171065493646,0.093841642228739,0.09036144578313253,0.09036144578313253,0.002421307506053269,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/CPPvariables.java,15,1,13
CPPLexer,0.3402530823664358,0.24395742586134864,0.18840579710144928,0.2434017595307918,0.3255131964809384,0.2512218963831867,0.04819277108433735,0.04819277108433735,0.19128329297820823,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/CPPLexer.java,8,79,2120
STDCTokenTypes,0.1527188529541645,0.13342682104549047,0.0,0.08993157380254155,0.09775171065493646,0.093841642228739,0.9156626506024096,0.9156626506024096,0.002421307506053269,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/STDCTokenTypes.java,152,1,0
MemberModeler,0.38649439920781775,0.18505189395349608,0.014492753623188406,0.08993157380254155,0.09775171065493646,0.093841642228739,0.024096385542168676,0.024096385542168676,0.01694915254237288,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/MemberModeler.java,4,7,23
CtorModeler,0.3832831966493884,0.23187848252069346,0.0,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.002421307506053269,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/CtorModeler.java,0,1,8
DtorModeler,0.3832831966493884,0.2461084705658489,0.0,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.002421307506053269,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/DtorModeler.java,0,1,8
ModelerImpl,0.34881628918891394,0.17413120545372565,0.1473429951690821,0.08993157380254155,0.09775171065493646,0.093841642228739,0.0963855421686747,0.0963855421686747,0.15012106537530268,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/ModelerImpl.java,16,62,652
AttributeModeler,0.3832831966493884,0.21764849447553808,0.007246376811594203,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.009685230024213076,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/AttributeModeler.java,1,4,40
TypedefModeler,0.42866819280852253,0.161721332158532,0.004830917874396135,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.007263922518159807,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/TypedefModeler.java,1,3,12
Modeler,0.41025729814019457,0.161721332158532,0.10386473429951691,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.10653753026634383,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/Modeler.java,0,44,222
CPPParser,0.4226739480327879,0.07799605366029214,0.5,0.19648093841642228,0.9960899315738025,0.3098729227761486,0.5120481927710844,0.5120481927710844,0.5036319612590799,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/CPPParser.java,85,208,9132
OperationModeler,0.3843535975021982,0.20259118154403644,0.03140096618357488,0.08993157380254155,0.09775171065493646,0.093841642228739,0.012048192771084338,0.012048192771084338,0.03389830508474576,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/OperationModeler.java,2,14,149
CppImport,0.3875648000606275,0.16503063170391696,0.028985507246376812,0.08993157380254155,0.09775171065493646,0.093841642228739,0.030120481927710843,0.030120481927710843,0.031476997578692496,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/CppImport.java,5,13,142
XtorModeler,0.44707908747685055,0.161721332158532,0.007246376811594203,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.009685230024213076,argouml/argouml-0.34/src/argouml-cpp/src/org/argouml/language/cpp/reveng/XtorModeler.java,0,4,65
TreeModelUMLEventListener,0.6381028236692816,0.16781044332204037,0.012077294685990338,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.009685230024213076,argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/ui/explorer/TreeModelUMLEventListener.java,0,4,17
PerspectiveManager,0.6292184965909605,0.18129583896948412,0.050724637681159424,0.08993157380254155,0.09775171065493646,0.093841642228739,0.030120481927710843,0.030120481927710843,0.048426150121065374,argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/ui/explorer/PerspectiveManager.java,5,20,513
ExplorerTreeNode,0.6292184965909605,0.17111974286742535,0.024154589371980676,0.08993157380254155,0.09775171065493646,0.093841642228739,0.030120481927710843,0.030120481927710843,0.021791767554479417,argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/ui/explorer/ExplorerTreeNode.java,5,9,82
DnDExplorerTree,0.6068471187672364,0.19924878900319762,0.028985507246376812,0.08993157380254155,0.09775171065493646,0.093841642228739,0.05421686746987952,0.05421686746987952,0.026634382566585957,argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/ui/explorer/DnDExplorerTree.java,9,11,311
ActionPerspectiveConfig,0.6249368931797215,0.18816263552615797,0.012077294685990338,0.08993157380254155,0.09775171065493646,0.093841642228739,0.006024096385542169,0.006024096385542169,0.009685230024213076,argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/ui/explorer/ActionPerspectiveConfig.java,1,4,15
